DateTime,temp1,temp2
2015-03-24 04:54:00,16.89,-10.9
2015-03-24 04:55:00,17.38,-10.9
2015-03-24 04:56:00,16.89,-10.9
2015-03-24 04:57:00,16.89,-10.9
2015-03-24 04:58:00,17.38,-10.9
2015-03-24 04:59:00,16.89,-10.9
2015-03-24 05:00:00,17.38,-10.9
2015-03-24 05:01:00,17.38,-10.938333333333334
2015-03-24 05:02:00,17.38,-10.976666666666667
2015-03-24 05:03:00,16.89,-11.015
2015-03-24 05:04:00,16.89,-11.053333333333333
2015-03-24 05:05:00,16.89,-11.091666666666667
2015-03-24 05:06:00,17.38,-11.13
2015-03-24 05:07:00,17.38,-11.168333333333333
2015-03-24 05:08:00,16.89,-11.206666666666667
2015-03-24 05:09:00,17.38,-11.245000000000001
2015-03-24 05:10:00,16.89,-11.283333333333333
2015-03-24 05:11:00,16.89,-11.321666666666667
2015-03-24 05:12:00,17.38,-11.36
2015-03-24 05:13:00,17.38,-11.398333333333333
2015-03-24 05:14:00,17.38,-11.436666666666667
2015-03-24 05:15:00,17.38,-11.475
2015-03-24 05:16:00,17.87,-11.513333333333334
2015-03-24 05:17:00,16.89,-11.551666666666666
2015-03-24 05:18:00,17.87,-11.59
2015-03-24 05:19:00,17.38,-11.628333333333334
2015-03-24 05:20:00,17.38,-11.666666666666666
2015-03-24 05:21:00,17.38,-11.705
2015-03-24 05:22:00,17.38,-11.743333333333334
2015-03-24 05:23:00,17.38,-11.781666666666666
2015-03-24 05:24:00,17.38,-11.82
2015-03-24 05:25:00,17.38,-11.858333333333333
2015-03-24 05:26:00,17.38,-11.896666666666667
2015-03-24 05:27:00,16.89,-11.935
2015-03-24 05:28:00,17.38,-11.973333333333333
2015-03-24 05:29:00,16.89,-12.011666666666667
2015-03-24 05:30:00,17.38,-12.05
2015-03-24 05:31:00,17.38,-12.088333333333333
2015-03-24 05:32:00,17.38,-12.126666666666667
2015-03-24 05:33:00,17.38,-12.165
2015-03-24 05:34:00,16.89,-12.203333333333333
2015-03-24 05:35:00,16.89,-12.241666666666667
2015-03-24 05:36:00,16.89,-12.28
2015-03-24 05:37:00,16.89,-12.318333333333333
2015-03-24 05:38:00,17.38,-12.356666666666666
2015-03-24 05:39:00,16.89,-12.395
2015-03-24 05:40:00,17.38,-12.433333333333334
2015-03-24 05:41:00,17.38,-12.471666666666666
2015-03-24 05:42:00,17.38,-12.51
2015-03-24 05:43:00,16.89,-12.548333333333332
2015-03-24 05:44:00,17.38,-12.586666666666666
2015-03-24 05:45:00,17.38,-12.625
2015-03-24 05:46:00,17.38,-12.663333333333332
2015-03-24 05:47:00,17.38,-12.701666666666666
2015-03-24 05:48:00,16.89,-12.74
2015-03-24 05:49:00,17.38,-12.778333333333332
2015-03-24 05:50:00,16.89,-12.816666666666666
2015-03-24 05:51:00,16.89,-12.855
2015-03-24 05:52:00,17.38,-12.893333333333333
2015-03-24 05:53:00,17.38,-12.931666666666667
2015-03-24 05:54:00,16.89,-12.969999999999999
2015-03-24 05:55:00,17.38,-13.008333333333333
2015-03-24 05:56:00,17.38,-13.046666666666667
2015-03-24 05:57:00,16.89,-13.084999999999999
2015-03-24 05:58:00,17.38,-13.123333333333333
2015-03-24 05:59:00,16.89,-13.161666666666665
2015-03-24 06:00:00,16.89,-13.2
2015-03-24 06:01:00,16.89,-13.203333333333333
2015-03-24 06:02:00,16.89,-13.206666666666665
2015-03-24 06:03:00,16.89,-13.209999999999999
2015-03-24 06:04:00,16.89,-13.213333333333333
2015-03-24 06:05:00,17.38,-13.216666666666667
2015-03-24 06:06:00,17.38,-13.219999999999999
2015-03-24 06:07:00,17.38,-13.223333333333333
2015-03-24 06:08:00,17.38,-13.226666666666667
2015-03-24 06:09:00,17.38,-13.229999999999999
2015-03-24 06:10:00,17.38,-13.233333333333333
2015-03-24 06:11:00,17.38,-13.236666666666666
2015-03-24 06:12:00,17.87,-13.24
2015-03-24 06:13:00,17.38,-13.243333333333332
2015-03-24 06:14:00,17.38,-13.246666666666666
2015-03-24 06:15:00,17.38,-13.25
2015-03-24 06:16:00,17.38,-13.253333333333332
